Pair,Asset1,Asset2,Rank,P_Value,Beta,Jumps
TRXUSDT/RLCUSDT,TRXUSDT,RLCUSDT,1,0.035793,1.039165,24
BNBUSDT/XRPUSDT,BNBUSDT,XRPUSDT,1,0.038258,0.118646,3
OPUSDT/IMXUSDT,OPUSDT,IMXUSDT,1,0.038629,0.937032,117
APEUSDT/ARBUSDT,APEUSDT,ARBUSDT,1,0.039207,0.741889,25
ICPUSDT/APEUSDT,ICPUSDT,APEUSDT,1,0.046813,1.028502,3
OPUSDT/ARBUSDT,OPUSDT,ARBUSDT,2,0.05005,0.782405,0
BCHUSDT/IMXUSDT,BCHUSDT,IMXUSDT,2,0.054321,0.705117,36
ETCUSDT/NEARUSDT,ETCUSDT,NEARUSDT,2,0.054371,0.978964,37
DOTUSDT/OPUSDT,DOTUSDT,OPUSDT,2,0.05753,1.475214,3
APEUSDT/OPUSDT,APEUSDT,OPUSDT,2,0.059424,0.91468,27
LTCUSDT/RLCUSDT,LTCUSDT,RLCUSDT,2,0.06671,1.007254,14
BNBUSDT/RLCUSDT,BNBUSDT,RLCUSDT,2,0.06698,0.375407,0
BCHUSDT/SNXUSDT,BCHUSDT,SNXUSDT,2,0.070105,0.521985,41
DOTUSDT/ARBUSDT,DOTUSDT,ARBUSDT,2,0.070901,1.22948,34
AVAXUSDT/ATOMUSDT,AVAXUSDT,ATOMUSDT,2,0.071757,0.821256,43
LTCUSDT/COMPUSDT,LTCUSDT,COMPUSDT,2,0.074395,0.584523,74
ARBUSDT/SNXUSDT,ARBUSDT,SNXUSDT,2,0.074703,0.878335,5
LINKUSDT/COMPUSDT,LINKUSDT,COMPUSDT,2,0.079137,0.872362,43
BNBUSDT/SUIUSDT,BNBUSDT,SUIUSDT,2,0.08254,0.26144,55
BNBUSDT/AAVEUSDT,BNBUSDT,AAVEUSDT,2,0.083423,0.200786,58
DOTUSDT/ETCUSDT,DOTUSDT,ETCUSDT,2,0.085948,1.447386,29
AVAXUSDT/GRTUSDT,AVAXUSDT,GRTUSDT,2,0.088294,0.922238,40
ETHUSDT/AVAXUSDT,ETHUSDT,AVAXUSDT,2,0.092445,0.546554,1
AVAXUSDT/APEUSDT,AVAXUSDT,APEUSDT,2,0.092514,1.113832,1
APEUSDT/GRTUSDT,APEUSDT,GRTUSDT,2,0.0932,0.739539,8
DOTUSDT/BCHUSDT,DOTUSDT,BCHUSDT,2,0.093882,1.87977,29
BCHUSDT/APEUSDT,BCHUSDT,APEUSDT,2,0.096958,0.747404,46
APEUSDT/IMXUSDT,APEUSDT,IMXUSDT,2,0.098219,0.898491,4
LINKUSDT/UNIUSDT,LINKUSDT,UNIUSDT,2,0.101999,1.040749,0
AVAXUSDT/ICPUSDT,AVAXUSDT,ICPUSDT,2,0.103273,1.09814,0
TRXUSDT/SNXUSDT,TRXUSDT,SNXUSDT,2,0.114681,0.722496,16
LTCUSDT/ICPUSDT,LTCUSDT,ICPUSDT,2,0.118493,0.959295,0
AVAXUSDT/SNXUSDT,AVAXUSDT,SNXUSDT,2,0.118702,0.811957,27
ETCUSDT/APEUSDT,ETCUSDT,APEUSDT,2,0.120459,0.997358,2
ETCUSDT/IMXUSDT,ETCUSDT,IMXUSDT,2,0.122419,0.958367,0
OPUSDT/SNXUSDT,OPUSDT,SNXUSDT,2,0.124637,0.684993,31
LINKUSDT/CRVUSDT,LINKUSDT,CRVUSDT,2,0.129685,0.499203,1
ETCUSDT/SNXUSDT,ETCUSDT,SNXUSDT,2,0.136148,0.719531,21
LTCUSDT/UNIUSDT,LTCUSDT,UNIUSDT,2,0.139705,0.679778,15
DOTUSDT/AVAXUSDT,DOTUSDT,AVAXUSDT,2,0.143851,1.296034,5
ATOMUSDT/IMXUSDT,ATOMUSDT,IMXUSDT,2,0.145535,1.287039,0
UNIUSDT/CRVUSDT,UNIUSDT,CRVUSDT,2,0.145984,0.46196,0
LTCUSDT/APEUSDT,LTCUSDT,APEUSDT,2,0.147392,0.981987,0
ETHUSDT/TRXUSDT,ETHUSDT,TRXUSDT,2,0.153275,0.463393,2
ETHUSDT/BCHUSDT,ETHUSDT,BCHUSDT,2,0.154181,0.789963,28
DOTUSDT/ATOMUSDT,DOTUSDT,ATOMUSDT,2,0.155378,1.103495,39
NEARUSDT/OPUSDT,NEARUSDT,OPUSDT,2,0.156273,0.944699,35
BTCUSDT/ADAUSDT,BTCUSDT,ADAUSDT,2,0.157506,0.283809,0
ARBUSDT/IMXUSDT,ARBUSDT,IMXUSDT,2,0.160533,1.155391,0
ADAUSDT/OPUSDT,ADAUSDT,OPUSDT,2,0.16436,1.743091,0
TRXUSDT/AAVEUSDT,TRXUSDT,AAVEUSDT,2,0.165282,0.545634,69
BNBUSDT/ADAUSDT,BNBUSDT,ADAUSDT,2,0.174996,0.168714,0
ADAUSDT/ETCUSDT,ADAUSDT,ETCUSDT,2,0.176883,1.800636,0
TRXUSDT/DOTUSDT,TRXUSDT,DOTUSDT,2,0.185557,0.613118,6
ETHUSDT/OPUSDT,ETHUSDT,OPUSDT,2,0.185869,0.597597,0
DOGEUSDT/NEARUSDT,DOGEUSDT,NEARUSDT,2,0.188641,1.38425,0
TRXUSDT/SUIUSDT,TRXUSDT,SUIUSDT,2,0.188863,0.707481,71
AVAXUSDT/IMXUSDT,AVAXUSDT,IMXUSDT,2,0.193541,1.062446,0
ADAUSDT/TRXUSDT,ADAUSDT,TRXUSDT,2,0.194954,1.36808,0
LTCUSDT/SNXUSDT,LTCUSDT,SNXUSDT,2,0.199609,0.71486,0
UNIUSDT/RLCUSDT,UNIUSDT,RLCUSDT,2,0.206776,1.380341,0
GRTUSDT/IMXUSDT,GRTUSDT,IMXUSDT,2,0.209218,1.149718,38
FTMUSDT/SNXUSDT,FTMUSDT,SNXUSDT,2,0.213627,0.909355,0
BTCUSDT/TRXUSDT,BTCUSDT,TRXUSDT,2,0.2158,0.392987,1
ETHUSDT/ICPUSDT,ETHUSDT,ICPUSDT,2,0.216972,0.588978,0
BCHUSDT/SEIUSDT,BCHUSDT,SEIUSDT,2,0.220694,0.670111,0
ETHUSDT/BNBUSDT,ETHUSDT,BNBUSDT,2,0.221101,1.466709,0
COMPUSDT/RLCUSDT,COMPUSDT,RLCUSDT,2,0.222227,1.650682,3
XRPUSDT/LTCUSDT,XRPUSDT,LTCUSDT,2,0.222458,2.674323,2
ATOMUSDT/APEUSDT,ATOMUSDT,APEUSDT,2,0.225629,1.326819,0
BNBUSDT/XLMUSDT,BNBUSDT,XLMUSDT,2,0.226615,0.098193,0
ETHUSDT/GMXUSDT,ETHUSDT,GMXUSDT,2,0.227795,0.671703,0
NEARUSDT/SEIUSDT,NEARUSDT,SEIUSDT,2,0.227985,0.928001,15
INJUSDT/APTUSDT,INJUSDT,APTUSDT,2,0.229364,0.982132,0
TRXUSDT/AVAXUSDT,TRXUSDT,AVAXUSDT,2,0.230458,0.813319,4
ADAUSDT/BCHUSDT,ADAUSDT,BCHUSDT,2,0.23232,2.327563,0
TRXUSDT/ARBUSDT,TRXUSDT,ARBUSDT,2,0.233427,0.76902,5
APEUSDT/FTMUSDT,APEUSDT,FTMUSDT,2,0.238059,0.666209,17
ETHUSDT/LTCUSDT,ETHUSDT,LTCUSDT,2,0.238104,0.578378,0
BTCUSDT/BNBUSDT,BTCUSDT,BNBUSDT,2,0.244747,1.199825,0
AVAXUSDT/LTCUSDT,AVAXUSDT,LTCUSDT,2,0.247364,1.061502,0
